"Transaction Hash","Status","Type","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xf10cedcb09e505d415bd8f5960f59b5a05b2a7a602a06e15fdb835c827d54217 ","Success","Tx","3191665","190 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000473"
"0x1d2630b9475d5f8edd0ef25f6f36c984beee4860bf90d3be62e98c128b061aab ","Success","Tx","3158140","190 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000294"
"0x646d1a16cb6add034b79a68053f6e04c655311ca9e796111989abb7871022702 ","Success","Tx","3154491","190 days ago","0x374334e22B5d6898AF77AC4d907d8b9Aca206605"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000488"
"0x65bad5ca6457130cdc2f47663f77c318e5254248f3457efeb22fc5897a0f8b4b ","Success","Tx","3153666","191 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001214"
"0xb48ae860c12e571f3d0c14bc58fd67d49a5e9f3bdc7978697e2366b06f5dcefc ","Success","Tx","3147985","191 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001505"
"0x19ace4dab996c5f289e67c371cd6f569bcc95d69c37b99b95354474760cbfdf0 ","Success","Tx","3117332","191 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000314"
"0xc70851a3d8b2a2ab111531f406b534ad065eb42e785dac28384e236f01a3bc6c ","Success","Tx","2326091","209 days ago","0x25Db7Aa5E09FdB3eBF573ef2216310b470beb76E"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0"
