"Transaction Hash","Status","Type","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x95452d781a6e1e41d665b8b6c4313f25741a0831f0115dd43b55bd480d409972 ","Success","Tx","4529107","159 days ago","0xd7768689A895202D7c53BdF4EA8Be07d943DEbd3"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000497"
"0x34827a302c2bcbbc2fcae81b6323ce5f31ce8764ad6133659b7fda567d1ae16b ","Success","Tx","4473760","160 days ago","0xB3D2ef36D4CB68120792F26528942E15F1c57A20"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001756"
"0x9c6c506db6a612738be5ab23c2e90d7605f638b76fae63b22fd3cb17af7fc07c ","Success","Tx","4464150","161 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.0000001"
"0x9c753abda1600e578debad1459cc24824de818d9a75ff711dc9e64c3db85a25d ","Success","Tx","4460428","161 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0"
"0xbe618549efd4d5eccd48f90cee5e01c379ae809f5f5c194513d0494275c9d9f6 ","Success","Tx","4437469","161 days ago","","crypt0gang.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001778"
"0x4b5e7735c08927293ddfd575e8e42c3b4097c2edd3a9f144d8cbb614aa66251d ","Success","Tx","4425389","161 days ago","","yehafiz.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000362"
"0x3102e7b0cbaa7a81f1543de9d1c4ec74b99dc36840075630b3a7768a6a0d675d ","Success","Tx","4385131","162 days ago","","cucamines.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000009"
"0x98730075d32ac982ad7f0987c7e602b2ce20ab037281d674eb5bf3d3f8f2b144 ","Success","Tx","4350329","163 days ago","0x44B9e78833Ddb7E22bfd28E1E3648B8CCCDdaB20"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00011707"
"0x1cf066af54373f60ee3966eecc02587800ae150eb285659522d802539f1eb9f1 ","Success","Tx","4330044","164 days ago","0xa136D3F79EC445d749d3905702CaC790C79046E1"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0"
"0x238ba2cd191ca9c98e025ca0b52835b5264a27b22ee7455c2d47d2585b81808a ","Success","Tx","4304441","164 days ago","","gudbera.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001956"
